Inicio: 24/11/2023 20:48:16,43 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: key-prop-refatorado-2.txt
24/11/2023 21:06:52,12 104325
24/11/2023 21:07:03,16 120590
24/11/2023 21:07:14,22 122188
24/11/2023 21:07:25,21 112806
24/11/2023 21:07:36,18 116047
24/11/2023 21:07:47,18 121139
24/11/2023 21:07:58,16 110445
24/11/2023 21:08:09,20 121370
24/11/2023 21:08:20,19 123002
24/11/2023 21:08:31,22 123000
24/11/2023 21:08:42,20 133428
24/11/2023 21:08:53,22 92175
24/11/2023 21:09:04,19 117129
24/11/2023 21:09:15,22 118841
24/11/2023 21:09:26,22 121353
24/11/2023 21:09:37,15 122486
24/11/2023 21:09:48,13 122714
24/11/2023 21:09:59,18 123263
24/11/2023 21:10:10,18 109562
24/11/2023 21:10:21,20 122716
24/11/2023 21:10:32,19 123900
24/11/2023 21:10:43,12 123858
24/11/2023 21:10:54,16 132237
24/11/2023 21:11:05,18 117949
24/11/2023 21:11:16,21 118791
24/11/2023 21:11:27,18 123182
24/11/2023 21:11:38,20 104229
24/11/2023 21:11:49,13 120109
24/11/2023 21:12:00,15 124856
24/11/2023 21:12:11,15 121647
24/11/2023 21:12:22,17 117889
24/11/2023 21:12:33,12 119403
24/11/2023 21:12:44,21 119433
24/11/2023 21:12:55,14 128165
24/11/2023 21:13:06,15 108611
24/11/2023 21:13:17,14 122381
24/11/2023 21:13:28,16 107181
24/11/2023 21:13:39,14 123400
24/11/2023 21:13:50,19 126133
24/11/2023 21:14:01,22 129467
24/11/2023 21:14:12,19 126712
24/11/2023 21:14:23,21 116650
24/11/2023 21:14:34,13 122105
24/11/2023 21:14:45,14 123339
24/11/2023 21:14:56,21 123335
24/11/2023 21:15:07,12 108423
24/11/2023 21:15:18,17 110255
24/11/2023 21:15:29,19 123089
24/11/2023 21:15:40,18 121138
24/11/2023 21:15:51,15 120980
24/11/2023 21:16:02,18 126351
24/11/2023 21:16:13,20 109299
24/11/2023 21:16:24,13 122993
24/11/2023 21:16:35,16 120771
24/11/2023 21:16:46,22 122175
24/11/2023 21:16:57,22 122147
24/11/2023 21:17:08,16 135695
24/11/2023 21:17:19,15 108601
24/11/2023 21:17:30,12 129193
24/11/2023 21:17:41,16 122374
24/11/2023 21:17:52,13 125082
24/11/2023 21:18:03,17 86476
24/11/2023 21:18:14,22 127090
24/11/2023 21:18:25,19 131407
24/11/2023 21:18:36,17 124443
24/11/2023 21:18:47,13 113086
24/11/2023 21:18:58,16 114284
24/11/2023 21:19:09,22 135695
24/11/2023 21:19:20,18 108532
24/11/2023 21:19:31,13 110256
24/11/2023 21:19:42,18 131629
24/11/2023 21:19:53,15 113231
24/11/2023 21:20:04,19 127696
24/11/2023 21:20:15,20 128991
24/11/2023 21:20:26,17 126323
24/11/2023 21:20:37,12 118817
24/11/2023 21:20:48,17 122778
24/11/2023 21:20:59,13 124120
24/11/2023 21:21:10,21 124153
24/11/2023 21:21:21,22 137848
24/11/2023 21:21:32,22 110376
24/11/2023 21:21:43,14 130850
24/11/2023 21:21:54,21 127177
24/11/2023 21:22:05,14 125415
24/11/2023 21:22:16,17 130588
24/11/2023 21:22:27,15 127675
24/11/2023 21:22:38,15 128906
24/11/2023 21:22:49,21 126631
24/11/2023 21:23:00,20 127138
24/11/2023 21:23:11,14 128366
24/11/2023 21:23:22,16 137804
24/11/2023 21:23:33,14 99755
24/11/2023 21:23:44,11 101149
24/11/2023 21:23:55,18 133275
24/11/2023 21:24:06,15 117526
24/11/2023 21:24:17,12 129783
24/11/2023 21:24:28,19 131404
24/11/2023 21:24:39,14 128768
24/11/2023 21:24:50,11 127321
24/11/2023 21:25:01,16 128165
24/11/2023 21:25:12,20 129317
24/11/2023 21:25:23,14 129307
24/11/2023 21:25:34,21 141724
24/11/2023 21:25:45,21 101461
24/11/2023 21:25:56,14 125661
24/11/2023 21:26:07,15 119923
24/11/2023 21:26:18,15 128837
24/11/2023 21:26:29,19 128859
24/11/2023 21:26:40,21 126442
24/11/2023 21:26:51,12 127517
24/11/2023 21:27:02,20 130132
24/11/2023 21:27:13,16 129214
24/11/2023 21:27:24,12 130738
24/11/2023 21:27:35,14 140344
24/11/2023 21:27:46,16 112810
24/11/2023 21:27:57,21 114024
24/11/2023 21:28:08,22 133771
24/11/2023 21:28:19,21 127248
24/11/2023 21:28:30,14 116604
24/11/2023 21:28:41,16 116510
24/11/2023 21:28:52,17 130967
24/11/2023 21:29:03,12 120139
24/11/2023 21:29:14,16 131855
24/11/2023 21:29:25,16 133131
24/11/2023 21:29:36,18 132780
24/11/2023 21:29:47,19 142274
24/11/2023 21:29:58,15 116651
24/11/2023 21:30:09,21 114386
24/11/2023 21:30:20,13 129793
24/11/2023 21:30:31,21 129568
24/11/2023 21:30:42,13 131465
24/11/2023 21:30:53,18 133435
24/11/2023 21:31:04,19 134838
24/11/2023 21:31:15,13 133180
24/11/2023 21:31:26,15 132734
24/11/2023 21:31:37,18 132612
24/11/2023 21:31:48,20 139230
24/11/2023 21:31:59,11 115355
24/11/2023 21:32:10,13 138157
24/11/2023 21:32:21,13 131551
24/11/2023 21:32:32,14 131219
24/11/2023 21:32:43,21 134216
24/11/2023 21:32:54,14 134294
24/11/2023 21:33:05,16 135052
24/11/2023 21:33:16,17 133693
24/11/2023 21:33:27,21 132471
24/11/2023 21:33:38,18 133651
24/11/2023 21:33:49,17 133408
24/11/2023 21:34:00,22 138500
24/11/2023 21:34:11,17 117278
24/11/2023 21:34:22,23 131979
24/11/2023 21:34:33,17 133643
24/11/2023 21:34:44,12 133433
24/11/2023 21:34:55,13 135757
24/11/2023 21:35:06,15 135875
24/11/2023 21:35:17,22 132741
24/11/2023 21:35:28,19 133210
24/11/2023 21:35:39,22 134488
24/11/2023 21:35:50,15 134520
24/11/2023 21:36:01,19 129630
24/11/2023 21:36:12,13 117862
24/11/2023 21:36:23,15 132394
24/11/2023 21:36:34,14 132112
24/11/2023 21:36:45,17 130061
24/11/2023 21:36:56,12 133015
24/11/2023 21:37:07,12 133239
24/11/2023 21:37:18,13 123083
24/11/2023 21:37:29,21 128089
24/11/2023 21:37:40,13 133375
24/11/2023 21:37:51,12 134493
24/11/2023 21:38:02,21 134494
24/11/2023 21:38:13,12 144307
24/11/2023 21:38:24,15 118482
24/11/2023 21:38:35,17 134207
24/11/2023 21:38:46,19 127866
24/11/2023 21:38:57,17 135560
24/11/2023 21:39:08,15 137904
24/11/2023 21:39:19,12 138214
24/11/2023 21:39:30,20 134873
24/11/2023 21:39:41,15 135299
24/11/2023 21:39:52,19 136921
24/11/2023 21:40:03,11 136830
24/11/2023 21:40:14,23 141036
24/11/2023 21:40:25,22 108840
24/11/2023 21:40:36,21 135385
24/11/2023 21:40:47,20 134053
24/11/2023 21:40:58,20 133735
24/11/2023 21:41:09,14 98320
24/11/2023 21:41:20,20 138833
24/11/2023 21:41:31,14 139563
24/11/2023 21:41:42,15 135349
24/11/2023 21:41:53,21 123871
24/11/2023 21:42:04,20 125044
24/11/2023 21:42:15,14 125029
24/11/2023 21:42:26,20 121393
24/11/2023 21:42:37,22 120426
24/11/2023 21:42:48,15 130935
24/11/2023 21:42:59,12 132980
24/11/2023 21:43:10,22 122332
24/11/2023 21:43:21,12 134036
24/11/2023 21:43:32,14 133528
24/11/2023 21:43:43,14 127745
24/11/2023 21:43:54,14 128411
24/11/2023 21:44:05,13 129779
24/11/2023 21:44:16,14 129788
24/11/2023 21:44:27,21 144010
24/11/2023 21:44:38,21 112001
24/11/2023 21:44:49,13 139259
24/11/2023 21:45:00,22 134115
24/11/2023 21:45:11,15 132124
24/11/2023 21:45:22,19 127405
24/11/2023 21:45:33,17 120056
24/11/2023 21:45:44,13 121289
24/11/2023 21:45:55,15 128081
24/11/2023 21:46:06,12 133334
24/11/2023 21:46:17,12 134400
24/11/2023 21:46:28,18 125658
24/11/2023 21:46:39,20 104978
24/11/2023 21:46:50,14 106726
24/11/2023 21:47:01,21 132099
24/11/2023 21:47:12,14 129667
24/11/2023 21:47:23,17 120187
24/11/2023 21:47:34,15 120167
24/11/2023 21:47:45,21 114510
24/11/2023 21:47:56,12 117761
24/11/2023 21:48:07,14 101415
24/11/2023 21:48:18,13 102673
24/11/2023 21:48:29,12 102656
24/11/2023 21:48:40,12 134832
24/11/2023 21:48:51,21 116478
24/11/2023 21:49:02,21 130473
24/11/2023 21:49:13,12 129196
24/11/2023 21:49:24,18 131922
24/11/2023 21:49:35,21 133670
24/11/2023 21:49:46,14 122884
24/11/2023 21:49:57,21 124063
24/11/2023 21:50:08,20 130877
24/11/2023 21:50:19,13 133352
24/11/2023 21:50:30,13 134514
24/11/2023 21:50:41,15 136887
24/11/2023 21:50:52,17 109065
24/11/2023 21:51:03,19 110657
24/11/2023 21:51:14,18 122768
24/11/2023 21:51:25,20 130207
24/11/2023 21:51:36,20 126846
24/11/2023 21:51:47,16 128362
24/11/2023 21:51:58,12 135554
24/11/2023 21:52:09,16 132383
24/11/2023 21:52:20,11 134661
24/11/2023 21:52:31,17 135937
24/11/2023 21:52:42,16 135872
24/11/2023 21:52:53,15 145012
24/11/2023 21:53:04,13 115674
24/11/2023 21:53:15,21 127376
24/11/2023 21:53:26,14 121541
24/11/2023 21:53:37,20 133318
24/11/2023 21:53:48,13 108798
24/11/2023 21:53:59,14 135604
24/11/2023 21:54:10,20 136621
24/11/2023 21:54:21,19 134235
24/11/2023 21:54:32,14 126896
24/11/2023 21:54:43,22 128283
24/11/2023 21:54:54,18 144247
24/11/2023 21:55:05,13 106280
24/11/2023 21:55:16,16 107443
24/11/2023 21:55:27,14 105728
24/11/2023 21:55:38,12 134740
24/11/2023 21:55:49,22 133204
24/11/2023 21:56:00,19 134800
24/11/2023 21:56:11,17 136965
24/11/2023 21:56:22,11 119942
24/11/2023 21:56:33,19 134300
24/11/2023 21:56:44,13 135395
24/11/2023 21:56:55,21 135473
24/11/2023 21:57:06,12 146473
24/11/2023 21:57:17,21 119226
24/11/2023 21:57:28,17 133927
24/11/2023 21:57:39,17 126430
24/11/2023 21:57:50,21 135465
24/11/2023 21:58:01,21 131134
24/11/2023 21:58:12,18 122123
24/11/2023 21:58:23,15 123061
24/11/2023 21:58:34,18 132828
24/11/2023 21:58:45,17 136402
24/11/2023 21:58:56,19 136370
24/11/2023 21:59:07,12 146533
24/11/2023 21:59:18,17 117791
24/11/2023 21:59:29,16 118882
24/11/2023 21:59:40,16 142003
24/11/2023 21:59:51,21 136548
24/11/2023 22:00:02,17 139796
24/11/2023 22:00:13,21 139644
24/11/2023 22:00:24,16 132465
24/11/2023 22:00:35,15 137257
24/11/2023 22:00:46,21 129002
24/11/2023 22:00:57,12 130042
24/11/2023 22:01:08,12 130111
24/11/2023 22:01:19,15 148820
24/11/2023 22:01:30,15 113530
24/11/2023 22:01:41,14 136020
24/11/2023 22:01:52,19 137686
24/11/2023 22:02:03,18 137420
24/11/2023 22:02:14,14 137770
24/11/2023 22:02:25,20 137975
24/11/2023 22:02:36,17 142177
24/11/2023 22:02:47,13 136663
24/11/2023 22:02:58,18 138333
24/11/2023 22:03:09,14 138347
24/11/2023 22:03:20,14 148361
24/11/2023 22:03:31,18 120970
24/11/2023 22:03:42,21 133549
24/11/2023 22:03:53,16 138334
24/11/2023 22:04:04,17 138010
24/11/2023 22:04:15,21 138029
24/11/2023 22:04:26,20 138079
24/11/2023 22:04:37,22 120014
24/11/2023 22:04:48,15 135650
24/11/2023 22:04:59,16 139043
24/11/2023 22:05:10,15 140181
24/11/2023 22:05:21,17 140211
24/11/2023 22:05:32,21 145534
24/11/2023 22:05:43,18 137198
24/11/2023 22:05:54,17 143637
24/11/2023 22:06:05,22 132457
24/11/2023 22:06:16,18 138498
24/11/2023 22:06:27,12 137662
24/11/2023 22:06:38,20 139835
24/11/2023 22:06:49,19 108986
24/11/2023 22:07:00,21 138595
24/11/2023 22:07:11,13 140045
24/11/2023 22:07:22,12 140032
24/11/2023 22:07:33,15 134897
24/11/2023 22:07:44,13 116917
24/11/2023 22:07:55,20 138660
24/11/2023 22:08:06,22 140467
24/11/2023 22:08:17,16 127513
24/11/2023 22:08:28,18 142731
24/11/2023 22:08:39,19 139584
24/11/2023 22:08:50,17 142841
24/11/2023 22:09:01,18 138656
24/11/2023 22:09:12,12 139343
24/11/2023 22:09:23,14 140639
24/11/2023 22:09:34,12 140509
24/11/2023 22:09:45,20 122759
24/11/2023 22:09:56,19 124429
24/11/2023 22:10:07,21 132868
24/11/2023 22:10:18,13 131064
24/11/2023 22:10:29,18 124981
24/11/2023 22:10:40,19 140133
24/11/2023 22:10:51,17 143267
24/11/2023 22:11:02,18 141618
24/11/2023 22:11:13,12 142389
24/11/2023 22:11:24,21 143723
24/11/2023 22:11:35,15 143668
24/11/2023 22:11:46,18 152527
24/11/2023 22:11:57,14 122165
24/11/2023 22:12:08,18 125170
24/11/2023 22:12:19,16 142244
24/11/2023 22:12:30,19 126504
24/11/2023 22:12:41,15 144871
24/11/2023 22:12:52,17 143720
24/11/2023 22:13:03,23 145108
24/11/2023 22:13:09,03 145915
24/11/2023 22:13:20,22 127965
24/11/2023 22:13:31,13 129044
24/11/2023 22:13:42,19 129080
24/11/2023 22:13:53,17 147098
24/11/2023 22:14:04,12 125839
24/11/2023 22:14:15,17 147952
24/11/2023 22:14:26,15 142655
24/11/2023 22:14:37,16 139288
24/11/2023 22:14:48,22 142393
24/11/2023 22:14:59,17 143817
24/11/2023 22:15:10,18 145042
24/11/2023 22:15:21,13 142755
24/11/2023 22:15:32,15 110682
24/11/2023 22:15:43,16 111746
24/11/2023 22:15:54,16 152430
24/11/2023 22:16:05,14 124182
24/11/2023 22:16:16,14 125761
24/11/2023 22:16:27,17 146913
24/11/2023 22:16:38,18 109190
24/11/2023 22:16:49,12 138686
24/11/2023 22:17:00,12 140228
24/11/2023 22:17:11,22 123950
24/11/2023 22:17:22,17 143143
24/11/2023 22:17:33,14 144131
24/11/2023 22:17:44,17 144810
24/11/2023 22:17:55,11 144783
24/11/2023 22:18:06,15 153914
24/11/2023 22:18:17,12 128356
24/11/2023 22:18:28,15 148255
24/11/2023 22:18:39,18 143414
24/11/2023 22:18:50,20 121548
24/11/2023 22:19:01,21 145123
24/11/2023 22:19:12,20 145433
24/11/2023 22:19:23,13 146567
24/11/2023 22:19:34,12 138167
24/11/2023 22:19:45,18 141652
24/11/2023 22:19:56,20 142757
24/11/2023 22:20:07,20 154104
24/11/2023 22:20:18,16 125070
24/11/2023 22:20:29,20 126422
24/11/2023 22:20:40,15 136776
24/11/2023 22:20:51,14 141100
24/11/2023 22:21:02,18 143653
24/11/2023 22:21:13,16 145209
24/11/2023 22:21:24,21 142906
24/11/2023 22:21:35,19 144852
24/11/2023 22:21:46,14 143824
24/11/2023 22:21:57,17 145093
24/11/2023 22:22:08,13 144730
24/11/2023 22:22:19,20 155684
24/11/2023 22:22:30,16 130067
24/11/2023 22:22:41,18 143200
24/11/2023 22:22:52,15 144912
24/11/2023 22:23:03,22 141317
24/11/2023 22:23:14,14 144829
24/11/2023 22:23:25,15 146824
24/11/2023 22:23:36,15 147774
24/11/2023 22:23:47,20 115915
24/11/2023 22:23:58,15 121145
24/11/2023 22:24:09,19 120978
24/11/2023 22:24:20,14 155436
24/11/2023 22:24:31,19 117214
24/11/2023 22:24:42,14 118327
24/11/2023 22:24:53,19 150968
24/11/2023 22:25:04,21 145464
24/11/2023 22:25:15,12 145678
24/11/2023 22:25:26,17 145766
24/11/2023 22:25:37,18 147992
24/11/2023 22:25:48,18 146251
24/11/2023 22:25:59,12 144039
24/11/2023 22:26:10,19 145122
24/11/2023 22:26:21,18 145072
24/11/2023 22:26:32,15 157543
24/11/2023 22:26:43,21 131326
24/11/2023 22:26:54,13 144996
24/11/2023 22:27:05,21 133733
24/11/2023 22:27:16,16 145815
24/11/2023 22:27:27,19 147801
24/11/2023 22:27:38,15 123523
24/11/2023 22:27:49,11 112765
24/11/2023 22:28:00,22 145412
24/11/2023 22:28:11,16 147068
24/11/2023 22:28:22,13 146716
24/11/2023 22:28:33,17 156497
24/11/2023 22:28:44,12 123029
24/11/2023 22:28:55,21 144980
24/11/2023 22:29:06,14 146734
24/11/2023 22:29:17,17 146496
24/11/2023 22:29:28,13 144602
24/11/2023 22:29:39,21 144795
24/11/2023 22:29:50,13 148576
24/11/2023 22:30:01,13 147105
24/11/2023 22:30:12,17 126518
24/11/2023 22:30:23,15 127270
24/11/2023 22:30:34,20 127244
24/11/2023 22:30:45,16 149123
24/11/2023 22:30:56,16 132529
24/11/2023 22:31:07,21 145597
24/11/2023 22:31:18,21 143933
24/11/2023 22:31:29,15 147317
24/11/2023 22:31:40,16 147736
24/11/2023 22:31:51,20 146439
24/11/2023 22:32:02,17 147842
24/11/2023 22:32:13,16 146945
24/11/2023 22:32:24,13 148459
24/11/2023 22:32:35,12 148142
24/11/2023 22:32:46,19 158375
24/11/2023 22:32:57,19 127969
24/11/2023 22:33:08,19 153660
24/11/2023 22:33:19,17 148348
24/11/2023 22:33:30,20 148034
24/11/2023 22:33:41,14 150819
24/11/2023 22:33:52,22 150504
24/11/2023 22:34:03,14 149281
24/11/2023 22:34:14,16 148608
24/11/2023 22:34:25,21 141745
24/11/2023 22:34:36,18 142872
24/11/2023 22:34:47,22 142590
24/11/2023 22:34:58,20 132394
24/11/2023 22:35:09,14 134134
24/11/2023 22:35:20,21 146822
24/11/2023 22:35:31,14 132672
24/11/2023 22:35:42,23 148087
24/11/2023 22:35:53,19 144258
24/11/2023 22:36:04,21 136454
24/11/2023 22:36:15,20 148774
24/11/2023 22:36:26,17 123282
24/11/2023 22:36:37,13 124630
24/11/2023 22:36:48,19 124392
24/11/2023 22:36:59,13 159414
24/11/2023 22:37:10,22 129008
24/11/2023 22:37:21,20 147412
24/11/2023 22:37:32,12 149190
24/11/2023 22:37:43,17 148900
24/11/2023 22:37:54,22 110444
24/11/2023 22:38:05,15 149391
24/11/2023 22:38:16,22 150613
24/11/2023 22:38:27,17 150029
24/11/2023 22:38:38,18 150922
24/11/2023 22:38:49,21 151944
24/11/2023 22:39:00,19 159801
24/11/2023 22:39:11,16 133403
24/11/2023 22:39:22,20 135122
24/11/2023 22:39:33,19 154783
24/11/2023 22:39:44,17 149338
24/11/2023 22:39:55,22 121949
24/11/2023 22:40:06,16 117041
24/11/2023 22:40:17,14 145312
24/11/2023 22:40:28,17 125068
24/11/2023 22:40:39,17 132019
24/11/2023 22:40:50,16 133233
24/11/2023 22:41:01,20 132910
24/11/2023 22:41:12,17 144898
24/11/2023 22:41:23,15 110697
24/11/2023 22:41:34,21 126232
24/11/2023 22:41:45,22 143491
24/11/2023 22:41:56,16 143090
24/11/2023 22:42:07,14 141378
24/11/2023 22:42:18,13 141618
24/11/2023 22:42:29,12 142867
24/11/2023 22:42:40,20 143455
24/11/2023 22:42:51,12 142478
24/11/2023 22:43:02,15 143403
24/11/2023 22:43:13,12 153061
24/11/2023 22:43:24,13 126941
24/11/2023 22:43:35,15 128531
24/11/2023 22:43:46,15 148054
24/11/2023 22:43:57,22 144019
24/11/2023 22:44:08,12 137626
24/11/2023 22:44:19,18 137375
24/11/2023 22:44:30,16 145666
24/11/2023 22:44:41,13 142542
24/11/2023 22:44:52,17 145180
24/11/2023 22:45:03,15 146326
24/11/2023 22:45:14,17 146317
24/11/2023 22:45:25,14 155305
24/11/2023 22:45:36,16 129382
24/11/2023 22:45:47,22 114837
24/11/2023 22:45:58,11 125807
24/11/2023 22:46:09,21 140834
24/11/2023 22:46:20,15 142562
24/11/2023 22:46:31,17 142782
24/11/2023 22:46:42,19 143842
24/11/2023 22:46:53,19 140032
24/11/2023 22:47:04,17 135798
24/11/2023 22:47:15,14 136535
24/11/2023 22:47:26,13 147500
24/11/2023 22:47:37,22 128476
24/11/2023 22:47:48,16 129766
24/11/2023 22:47:59,19 121087
24/11/2023 22:48:10,19 128777
24/11/2023 22:48:21,15 147210
24/11/2023 22:48:32,20 147084
24/11/2023 22:48:43,19 140576
24/11/2023 22:48:54,22 145226
24/11/2023 22:49:05,20 144486
24/11/2023 22:49:16,16 145592
24/11/2023 22:49:27,22 145668
24/11/2023 22:49:38,21 156626
24/11/2023 22:49:49,13 130995
24/11/2023 22:50:00,20 137942
24/11/2023 22:50:11,18 121064
24/11/2023 22:50:22,17 139129
24/11/2023 22:50:33,21 134897
24/11/2023 22:50:44,20 141240
24/11/2023 22:50:55,15 142188
24/11/2023 22:51:06,20 140309
24/11/2023 22:51:17,14 143664
24/11/2023 22:51:28,22 143398
24/11/2023 22:51:39,21 150828
24/11/2023 22:51:50,12 128174
24/11/2023 22:52:01,18 129114
24/11/2023 22:52:12,17 149053
24/11/2023 22:52:23,15 140437
24/11/2023 22:52:34,17 135590
24/11/2023 22:52:45,20 135777
24/11/2023 22:52:56,20 145797
24/11/2023 22:53:07,19 138258
24/11/2023 22:53:18,16 136169
24/11/2023 22:53:29,19 137447
24/11/2023 22:53:40,12 137374
24/11/2023 22:53:51,18 147525
24/11/2023 22:54:02,18 131017
24/11/2023 22:54:13,13 135637
24/11/2023 22:54:24,15 136136
24/11/2023 22:54:35,21 145144
24/11/2023 22:54:46,20 147157
24/11/2023 22:54:57,17 110741
24/11/2023 22:55:08,14 126418
24/11/2023 22:55:19,14 145559
24/11/2023 22:55:30,17 147191
24/11/2023 22:55:41,15 147181
24/11/2023 22:55:52,21 157256
24/11/2023 22:56:03,19 125739
24/11/2023 22:56:14,14 153217
24/11/2023 22:56:25,21 147545
24/11/2023 22:56:36,13 143985
24/11/2023 22:56:47,11 134524
24/11/2023 22:56:58,21 134794
24/11/2023 22:57:09,13 136984
24/11/2023 22:57:20,19 141640
24/11/2023 22:57:31,12 147051
24/11/2023 22:57:42,21 148263
24/11/2023 22:57:53,20 148237
24/11/2023 22:58:04,11 159713
24/11/2023 22:58:15,14 128706
24/11/2023 22:58:26,14 130511
24/11/2023 22:58:37,20 139095
24/11/2023 22:58:48,20 148043
24/11/2023 22:58:59,19 150188
24/11/2023 22:59:10,21 128773
24/11/2023 22:59:21,12 139386
24/11/2023 22:59:32,11 149253
24/11/2023 22:59:43,20 150676
24/11/2023 22:59:54,22 150706
24/11/2023 23:00:05,18 159422
24/11/2023 23:00:16,15 133796
24/11/2023 23:00:27,22 154331
24/11/2023 23:00:38,14 149337
24/11/2023 23:00:49,20 142793
24/11/2023 23:01:00,12 151644
24/11/2023 23:01:11,13 114798
24/11/2023 23:01:22,15 148815
24/11/2023 23:01:33,13 146495
24/11/2023 23:01:44,14 150340
24/11/2023 23:01:55,13 151598
24/11/2023 23:02:06,17 151627
24/11/2023 23:02:17,20 133697
24/11/2023 23:02:28,11 135311
24/11/2023 23:02:39,20 152585
24/11/2023 23:02:50,21 149625
24/11/2023 23:03:01,22 149708
24/11/2023 23:03:12,13 111307
24/11/2023 23:03:23,18 150979
24/11/2023 23:03:34,11 150573
24/11/2023 23:03:45,14 143559
24/11/2023 23:03:56,16 145030
24/11/2023 23:04:07,14 144926
24/11/2023 23:04:18,21 152443
24/11/2023 23:04:29,19 135856
24/11/2023 23:04:40,21 148519
24/11/2023 23:04:51,14 148203
24/11/2023 23:05:02,15 150667
24/11/2023 23:05:13,17 153749
24/11/2023 23:05:24,17 153127
24/11/2023 23:05:35,13 154380
24/11/2023 23:05:46,15 152284
24/11/2023 23:05:57,11 153007
24/11/2023 23:06:08,20 154173
24/11/2023 23:06:19,22 162944
24/11/2023 23:06:30,13 136100
24/11/2023 23:06:41,14 137847
24/11/2023 23:06:52,16 155924
24/11/2023 23:07:03,14 148797
24/11/2023 23:07:14,12 113229
24/11/2023 23:07:25,17 153523
24/11/2023 23:07:36,17 154170
24/11/2023 23:07:47,18 152574
24/11/2023 23:07:58,13 148672
24/11/2023 23:08:09,20 149884
24/11/2023 23:08:20,20 149873
24/11/2023 23:08:31,19 164230
24/11/2023 23:08:42,13 138169
24/11/2023 23:08:53,19 146465
24/11/2023 23:09:04,13 122570
24/11/2023 23:09:15,11 152682
